    target  count  region      srcs
 0x200d700     1  decomp      0x2009904
 0x200de3c     3  decomp      0x2005920, 0x20060b0, 0x200afac
 0x200def8     3  decomp      0x200db0c, 0x200dc38, 0x200de50
 0x200e150     2  decomp      0x200dd68, 0x200dd78
 0x200e404     5  decomp      0x200d8ac, 0x200db2c, 0x200dc4c, 0x200dc68, 0x200ddc8
 0x200e508     2  decomp      0x200db18, 0x200dd84
 0x200e5e8     2  decomp      0x200e0f8, 0x200e888
 0x200e96c    24  decomp      0x200d8a0, 0x200e6dc, 0x200e6f0, 0x200e704, 0x200e718, 0x200e72c
 0x200ea20     3  decomp      0x200e130, 0x200e898, 0x200e90c
 0x200ebb8     1  decomp      0x200e120
 0x200ec84     1  decomp      0x200de74
 0x200ecd8     3  decomp      0x200ea14, 0x200eba4, 0x200eccc
 0x200ed28     1  decomp      0x200ecb0
 0x200ed98     2  decomp      0x200e0d0, 0x200e0e0
 0x200ee14     2  decomp      0x20932d4, 0x209351c
 0x200eea8    32  decomp      0x200c158, 0x200c650, 0x200c84c, 0x200c9ac, 0x200c9d4, 0x200c9fc
 0x200f1c0     1  decomp      0x200787c
 0x200f2c4     1  decomp      0x200e10c
 0x200f350     2  decomp      0x200d8fc, 0x200d990
 0x200f38c     3  decomp      0x200cc6c, 0x200d9f4, 0x200da30
 0x200f3cc    61  decomp      0x200c2f0, 0x200c568, 0x200c584, 0x200c5a0, 0x200c5bc, 0x200c5e4
 0x200f730     1  decomp      0x200c320
 0x200f8d4    42  decomp      0x2008e74, 0x20098ec, 0x20099b0, 0x200c20c, 0x200c27c, 0x200c3cc
 0x20102bc     2  decomp      0x20087fc, 0x2009920
 0x2010344     4  decomp      0x20060d0, 0x200d4a8, 0x200d9c8, 0x200df34
 0x2010450     4  decomp      0x20059a0, 0x2008818, 0x200993c, 0x200b02c
 0x20104d8     1  decomp      0x200cf3c
 0x20105f8     3  decomp      0x2008834, 0x2009964, 0x200ce84
 0x2010840     5  decomp      0x2008ca4, 0x2008cb4, 0x200c44c, 0x200d7b0, 0x200d8d8
 0x20108d0     1  decomp      0x2008ca0
 0x2010b48    45  decomp      0x200657c, 0x2009de0, 0x2009f94, 0x200b7b0, 0x200ec24, 0x2029718
 0x2010b54     6  decomp      0x2006564, 0x200b798, 0x200ec08, 0x20296f0, 0x20a15a0, 0x20a15f0
 0x2010b90     1  decomp      0x2056048
 0x2010ba0     1  decomp      0x2056068
 0x2010d70    46  decomp      0x2010bdc, 0x2015fe8, 0x201600c, 0x201bdb8, 0x201dc28, 0x201dc38
 0x2010f7c    16  decomp      0x20041ec, 0x200433c, 0x2004364, 0x2006810, 0x2006820, 0x200a214
 0x2010f84     1  decomp      0x2010b78
 0x2011178     6  decomp      0x200c2c4, 0x200c398, 0x200c3d8, 0x200c860, 0x200d23c, 0x200da1c
 0x20116dc     1  decomp      0x2011738
