start	end	size	refs
0x02004908	0x02014908	65536	1
0x02004940	0x02014940	65536	0
0x02004954	0x02014954	65536	1
0x02004988	0x02014988	65536	2
0x02004990	0x02014990	65536	4
0x02004A44	0x02014A44	65536	1
0x02004A90	0x02014A90	65536	13
0x02004AC4	0x02014AC4	65536	11
0x02004B44	0x02014B44	65536	16
0x02004B98	0x02014B98	65536	1
0x02004BAC	0x02014BAC	65536	1
0x02004BE8	0x02014BE8	65536	1
0x02004C48	0x02014BF0	65448	0
0x02004C8C	0x02014BF0	65380	1
0x02004CFC	0x02014CF0	65524	2
0x02004D28	0x02014CF0	65480	5
0x02004E30	0x02014E30	65536	2
0x02004F8C	0x02014F8C	65536	4
0x02005078	0x02015078	65536	1
0x020050C0	0x020150C0	65536	1
0x02005128	0x02015128	65536	1
0x02005158	0x02015158	65536	1
0x020051AC	0x020151AC	65536	1
0x020051E0	0x020151E0	65536	1
0x02005258	0x02015258	65536	1
0x02005270	0x02015270	65536	2
0x02005328	0x02015328	65536	1
0x0200536C	0x0201536C	65536	6
0x02005384	0x02015374	65520	3
0x0200538C	0x0201538C	65536	1
0x02005440	0x02015440	65536	2
0x020054EC	0x020154EC	65536	1
0x020055C4	0x02015564	65440	1
0x020055E8	0x02015564	65404	1
0x0200560C	0x0201560C	65536	1
0x02005654	0x0201562C	65496	2
0x020056C4	0x0201562C	65384	2
0x02005750	0x0201562C	65244	2
0x0200576C	0x0201562C	65216	1
0x020057A0	0x0201562C	65164	26
0x020057BC	0x0201562C	65136	12
0x020057D8	0x0201562C	65108	79
0x020057FC	0x020157FC	65536	9
0x02005808	0x02015808	65536	1
0x02005824	0x02015824	65536	1
0x02005874	0x02015874	65536	1
0x020058FC	0x020158C4	65480	8
0x02005910	0x020158C4	65460	7
0x02005924	0x020158C4	65440	6
0x02005A10	0x020158C4	65204	6
0x02005B40	0x020158C4	64900	2
0x02005B54	0x020158C4	64880	2
0x02005B68	0x020158C4	64860	1
0x02005BE8	0x020158C4	64732	1
0x02005D00	0x020158C4	64452	1
