f=1 ed=0xFF ec=0xFF 57=0xFF 26=0xFF ptr(4D)=0xFFFF
f=735 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA07D
f=740 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA07E
f=744 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA07F
f=804 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA080
f=819 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA081
f=823 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA087
f=828 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA08E
f=845 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA092
f=846 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA093
f=847 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA094
f=848 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA095
f=849 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA096
f=850 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA097
f=851 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA098
f=852 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA099
f=853 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09A
f=854 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09B
f=855 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09C
f=856 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09D
f=860 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09E
f=861 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA09F
f=862 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A0
f=863 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A1
f=864 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A2
f=865 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A3
f=866 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A4
f=867 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A5
f=868 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A6
f=869 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A7
f=873 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A8
f=874 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0A9
f=875 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AA
f=876 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AB
f=877 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AC
f=878 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AD
f=879 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AE
f=880 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0AF
f=881 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B0
f=882 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B1
f=883 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B2
f=884 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B3
f=885 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B4
f=889 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B5
f=905 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B7
f=1025 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B8
f=1040 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0B9
f=1044 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0BA
f=1062 ed=0xB8 ec=0x2A 57=0x0 26=0x0 ptr(4D)=0xA0C0
f=1063 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0C6
f=1083 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0C9
f=1103 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0CC
f=1123 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0CF
f=1134 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0D5
f=1139 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0D6
f=1144 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0D7
f=1149 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0D8
f=1154 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0D9
f=1159 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0DC
f=1164 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0DD
f=1168 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0DE
f=1173 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0DF
f=1178 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0E0
f=1183 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0E1
f=1188 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0E2
f=1193 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0E3
f=1198 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0E4
f=1203 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0E5
f=1208 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0E6
f=1213 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0E7
f=1218 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0E8
f=1223 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0E9
f=1228 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0EA
f=1233 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0EB
f=1238 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0EC
f=1242 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0ED
f=1282 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0EE
f=1287 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0EF
f=1292 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0F0
f=1297 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0F1
f=1302 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0F2
f=1307 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0F3
f=1312 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0F4
f=1317 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0F5
f=1322 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0F6
f=1327 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0F7
f=1332 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0F8
f=1337 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0F9
f=1342 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0FA
f=1347 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0FB
f=1352 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0FC
f=1356 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0FD
f=1361 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0FE
f=1366 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA0FF
f=1371 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA100
f=1376 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA101
f=1381 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA102
f=1386 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA103
f=1391 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA104
f=1396 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA105
f=1401 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA106
f=1406 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA107
f=1411 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA108
f=1415 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA109
f=1475 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA10C
f=1490 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA10D
f=1494 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA111
f=1499 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA118
f=1516 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA11C
f=1518 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA11D
f=1520 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA11E
f=1522 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA11F
f=1524 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA120
f=1526 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA121
f=1528 ed=0xBA ec=0x96 57=0x0 26=0x0 ptr(4D)=0xA122
